"Имя образа","PID","Имя сессии","№ сеанса","Память","Состояние","Пользователь","Время ЦП","Заголовок окна"
"conhost.exe","6412","Services","0","7 076 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"postgres.exe","6760","Services","0","7 348 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"postgres.exe","7108","Services","0","10 112 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"postgres.exe","7116","Services","0","8 708 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"postgres.exe","6288","Services","0","10 560 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"postgres.exe","6420","Services","0","8 320 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"postgres.exe","6416","Services","0","15 808 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","7236","Services","0","6 832 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"nvcontainer.exe","7244","Console","1","28 924 КБ","Running","Н/Д","0:00:08","UxdService"
"svchost.exe","7416","Services","0","9 708 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","7520","Services","0","8 476 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"dllhost.exe","7664","Services","0","11 384 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","8676","Services","0","11 968 КБ","Unknown","Н/Д","0:04:02","Н/Д"
"svchost.exe","8732","Services","0","15 228 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"Razer Synapse Service.exe","8288","Services","0","75 652 КБ","Unknown","Н/Д","0:00:28","Н/Д"
"NisSrv.exe","8724","Services","0","15 252 КБ","Unknown","Н/Д","0:00:15","Н/Д"
"SearchIndexer.exe","9160","Services","0","44 232 КБ","Unknown","Н/Д","0:00:18","Н/Д"
"svchost.exe","8236","Services","0","9 972 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"sihost.exe","3384","Console","1","29 468 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:11","Н/Д"
"svchost.exe","9232","Console","1","42 752 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:01:00","Н/Д"
"nvcontainer.exe","9320","Console","1","23 588 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:02","{2A335767-FC94-417F-ABC4-B4122ADBEE60}"
