"Имя образа","PID","Имя сессии","№ сеанса","Память","Состояние","Пользователь","Время ЦП","Заголовок окна"
"chrome.exe","19440","Console","1","117 732 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","21192","Console","1","121 908 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"notepad.exe","17700","Console","1","14 688 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Безымянный - Блокнот"
"notepad.exe","6332","Console","1","14 792 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Безымянный - Блокнот"
"WmiPrvSE.exe","22748","Services","0","12 324 КБ","Unknown","Н/Д","0:00:44","Н/Д"
"chrome.exe","20312","Console","1","188 380 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:12","Н/Д"
"chrome.exe","6304","Console","1","174 940 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:03","Н/Д"
"chrome.exe","23472","Console","1","127 332 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","23016","Console","1","193 772 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:08","Н/Д"
"chrome.exe","22684","Console","1","139 332 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","17848","Console","1","172 120 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:05","Н/Д"
"chrome.exe","14512","Console","1","113 724 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"chrome.exe","24112","Console","1","106 752 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:05","Н/Д"
"svchost.exe","24452","Services","0","9 204 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"chrome.exe","25216","Console","1","123 624 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"svchost.exe","24984","Services","0","7 984 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"chrome.exe","24056","Console","1","55 548 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"svchost.exe","6516","Services","0","7 652 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","25464","Services","0","8 912 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"chrome.exe","22116","Console","1","149 784 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","12488","Console","1","104 500 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","24788","Console","1","34 920 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"FileCoAuth.exe","24780","Console","1","30 360 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","OLEChannelWnd"
"tasklist.exe","24300","Console","1","11 072 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
